work_year,experience_level,employment_type,job_title,salary,remote_ratio,company_size
2023,SE,FT,Machine Learning Scientist,182750,100,M
2023,SE,FT,Research Scientist,212800,0,L
2023,SE,FT,Research Scientist,124100,0,L
2023,SE,FT,Research Engineer,196000,0,M
2023,SE,FT,Research Engineer,142600,0,M
2023,SE,FT,Business Intelligence Engineer,185000,0,L
2023,SE,FT,Business Intelligence Engineer,79600,0,L
2023,SE,FT,Data Architect,193000,100,M
2023,SE,FT,Data Architect,110000,100,M
2023,SE,FT,Data Scientist,245000,0,M
2023,SE,FT,Data Scientist,185000,0,M
2023,MI,FT,Data Engineer,154000,0,M
2023,MI,FT,Data Engineer,103000,0,M
2023,SE,FT,Data Analyst,80000,0,M
2023,SE,FT,Data Analyst,70000,0,M
2023,EX,FT,Data Engineer,250000,0,M
2023,EX,FT,Data Engineer,225000,0,M
2023,SE,FT,Data Analyst,90000,0,M
2023,SE,FT,Data Analyst,80000,0,M
2023,SE,FT,Data Engineer,205000,0,M
2023,SE,FT,Data Engineer,167500,0,M
2023,SE,FT,Data Scientist,202600,100,M
2023,SE,FT,Data Scientist,168800,100,M
2023,SE,FT,Data Scientist,164000,100,M
2023,SE,FT,Data Scientist,130000,100,M
2023,SE,FT,Data Scientist,168000,100,M
2023,SE,FT,Data Scientist,130000,100,M
2023,SE,FT,Data Engineer,185900,0,M
2023,SE,FT,Data Engineer,129300,0,M
2023,SE,FT,Machine Learning Engineer,297300,100,M
2023,SE,FT,Machine Learning Engineer,198200,100,M
2023,SE,FT,Machine Learning Engineer,190000,100,M
2023,SE,FT,Machine Learning Engineer,156000,100,M
2023,SE,FT,Machine Learning Engineer,205000,0,M
2023,SE,FT,Machine Learning Engineer,152000,0,M
2023,SE,FT,Data Science Practitioner,196500,0,M
2023,SE,FT,Data Science Practitioner,97300,0,M
2023,SE,FT,Machine Learning Engineer,260000,0,M
2023,SE,FT,Machine Learning Engineer,192000,0,M
2023,SE,FT,Applied Scientist,216000,100,M
2023,SE,FT,Applied Scientist,184000,100,M
2023,SE,FT,Machine Learning Engineer,192000,100,M
2023,SE,FT,Machine Learning Engineer,164000,100,M
2023,SE,FT,Machine Learning Engineer,227700,100,M
2023,SE,FT,Machine Learning Engineer,154836,100,M
2023,SE,FT,Data Scientist,160000,100,M
2023,SE,FT,Data Scientist,140000,100,M
2023,SE,FT,Data Scientist,168000,100,M
2023,SE,FT,Data Scientist,130000,100,M
2023,MI,FT,Machine Learning Engineer,285000,0,L
2023,MI,FT,Machine Learning Engineer,190000,0,L
2023,MI,FT,Research Scientist,405000,0,L
2023,MI,FT,Research Scientist,270000,0,L
2023,MI,FT,Data Engineer,214300,0,M
2023,MI,FT,Data Engineer,108500,0,M
2023,MI,FT,Data Scientist,145000,100,M
2023,MI,FT,Data Scientist,115000,100,M
2023,MI,FT,Data Science Engineer,130000,100,M
2023,MI,FT,Data Science Engineer,113000,100,M
2023,SE,FT,Data Scientist,194500,0,M
2023,SE,FT,Data Scientist,110250,0,M
2023,SE,FT,Data Scientist,295000,0,M
2023,SE,FT,Data Scientist,177300,0,M
2023,SE,FT,Data Scientist,136000,100,M
2023,SE,FT,Data Scientist,104000,100,M
2023,MI,FT,Applied Scientist,222200,0,L
2023,MI,FT,Applied Scientist,136000,0,L
2023,SE,FT,Applied Scientist,192000,100,M
2023,SE,FT,Applied Scientist,164000,100,M
2023,EN,FT,Data Engineer,220000,0,M
2023,EN,FT,Data Engineer,187000,0,M
2023,EX,FT,Director of Data Science,353200,0,M
2023,EX,FT,Director of Data Science,249300,0,M
2023,SE,FT,Data Analyst,85000,0,M
2023,SE,FT,Data Analyst,79000,0,M
2023,SE,FT,Machine Learning Engineer,214500,0,M
2023,SE,FT,Machine Learning Engineer,132600,0,M
2023,SE,FT,Data Engineer,131000,0,M
2023,SE,FT,Data Engineer,130000,0,M
2023,SE,FT,Data Scientist,153600,0,M
2023,SE,FT,Data Scientist,106800,0,M
2023,SE,FT,Applied Scientist,220000,100,M
2023,SE,FT,Applied Scientist,163000,100,M
2023,SE,FT,Data Scientist,168000,100,M
2023,SE,FT,Data Scientist,130000,100,M
2023,SE,FT,Data Scientist,107400,0,M
2023,SE,FT,Data Scientist,101500,0,M
2023,EX,FT,Data Manager,80000,0,M
2023,EX,FT,Data Manager,70000,0,M
2023,MI,FT,Research Scientist,300000,0,M
2023,MI,FT,Research Scientist,100000,0,M
2023,SE,FT,Data Architect,175000,100,M
2023,SE,FT,Data Architect,135000,100,M
2023,SE,FT,Data Scientist,164000,0,M
2023,SE,FT,Data Scientist,130000,0,M
2023,SE,FT,Data Scientist,300000,0,M
2023,SE,FT,Data Scientist,211000,0,M
2023,SE,FT,Machine Learning Engineer,276000,0,M
2023,SE,FT,Machine Learning Engineer,184000,0,M
2023,MI,FT,Data Analyst,115000,100,M
2023,MI,FT,Data Analyst,110000,100,M
2023,SE,FT,Data Engineer,139810,0,M
2023,SE,FT,Data Engineer,95325,0,M
2023,SE,FT,Data Analyst,167000,0,M
2023,SE,FT,Data Analyst,150000,0,M
2023,SE,FT,Data Engineer,144000,0,M
2023,SE,FT,Data Engineer,96000,0,M
2023,SE,FT,Data Engineer,140000,0,M
2023,SE,FT,Data Engineer,125000,0,M
2023,SE,FT,Analytics Engineer,145000,100,M
2023,SE,FT,Analytics Engineer,116000,100,M
2023,SE,FT,Data Scientist,161000,0,M
2023,SE,FT,Data Scientist,116300,0,M
2023,SE,FT,Data Analyst,140000,0,M
2023,SE,FT,Data Analyst,125000,0,M
2023,SE,FT,Data Architect,175564,100,M
2023,SE,FT,Data Architect,144854,100,M
2023,SE,FT,Machine Learning Engineer,225000,0,M
2023,SE,FT,Machine Learning Engineer,166000,0,M
2023,SE,FT,Analytics Engineer,190000,0,M
2023,SE,FT,Analytics Engineer,150000,0,M
2023,SE,FT,Machine Learning Engineer,225000,0,M
2023,SE,FT,Machine Learning Engineer,166000,0,M
2023,SE,FT,Data Scientist,151300,100,M
2023,SE,FT,Data Scientist,126100,100,M
2023,SE,FT,Research Engineer,190000,0,M
2023,SE,FT,Research Engineer,152000,0,M
2023,SE,FT,Data Scientist,202600,100,M
2023,SE,FT,Data Scientist,168800,100,M
2023,SE,FT,Machine Learning Engineer,190000,0,M
2023,SE,FT,Machine Learning Engineer,150000,0,M
2023,EX,FT,Data Analyst,180000,100,M
2023,EX,FT,Data Analyst,125000,100,M
2023,SE,FT,Business Intelligence Analyst,113000,0,M
2023,SE,FT,Business Intelligence Analyst,90400,0,M
2023,SE,FT,Business Intelligence Engineer,204300,0,M
2023,SE,FT,Business Intelligence Engineer,139000,0,M
2023,SE,FT,Data Engineer,282000,0,M
2023,SE,FT,Data Engineer,208000,0,M
2023,SE,FT,Data Engineer,185000,0,M
2023,SE,FT,Data Engineer,124000,0,M
2023,SE,FT,Research Scientist,240000,0,M
2023,SE,FT,Research Scientist,157000,0,M
2023,SE,FT,Machine Learning Engineer,212800,0,L
2023,SE,FT,Machine Learning Engineer,111600,0,L
2023,SE,FT,Data Architect,183000,0,M
2023,SE,FT,Data Architect,147000,0,M
2023,SE,FT,Data Engineer,169000,0,M
2023,SE,FT,Data Engineer,91000,0,M
2023,SE,FT,Data Architect,210000,0,M
2023,SE,FT,Data Architect,160000,0,M
2023,MI,FT,Data Analyst,70900,0,M
2023,MI,FT,Data Analyst,49000,0,M
2023,SE,FT,Data Architect,193000,0,M
2023,SE,FT,Data Architect,128000,0,M
2023,SE,FT,Data Scientist,168000,0,M
2023,SE,FT,Data Scientist,130000,0,M
2023,MI,FT,Data Engineer,154000,0,M
2023,MI,FT,Data Engineer,103000,0,M
2023,SE,FT,Data Analyst,93918,0,M
2023,SE,FT,Data Analyst,51962,0,M
2023,SE,FT,Data Scientist,180000,0,M
2023,SE,FT,Data Scientist,160000,0,M
2023,SE,FT,Data Scientist,140000,0,M
2023,SE,FT,Data Scientist,140000,0,M
2023,SE,FT,Data Scientist,215000,0,M
2023,SE,FT,Data Scientist,160000,0,M
2023,EX,FT,Data Engineer,174500,0,M
2023,EX,FT,Data Engineer,113000,0,M
2023,SE,FT,Data Analyst,125000,100,M
2023,SE,FT,Data Analyst,80000,100,M
2023,SE,FT,Data Engineer,145000,100,M
2023,SE,FT,Data Engineer,115000,100,M
2023,SE,FT,Machine Learning Engineer,260000,0,M
2023,SE,FT,Machine Learning Engineer,160000,0,M
2023,SE,FT,Data Scientist,202000,100,M
2023,SE,FT,Data Scientist,140000,100,M
2023,SE,FT,Machine Learning Engineer,250000,0,M
2023,SE,FT,Machine Learning Engineer,140000,0,M
2023,SE,FT,Data Science Manager,204000,100,M
2023,SE,FT,Data Science Manager,127500,100,M
2023,SE,FT,Data Analyst,145500,0,M
2023,SE,FT,Data Analyst,108000,0,M
2023,SE,FT,Data Engineer,206000,100,M
2023,SE,FT,Data Engineer,175100,100,M
2023,SE,FT,Data Analyst,122500,100,M
2023,SE,FT,Data Analyst,82500,100,M
2023,SE,FT,Data Manager,110400,0,M
2023,SE,FT,Data Manager,68000,0,M
2023,SE,FT,Data Scientist,190000,100,M
2023,SE,FT,Data Scientist,160000,100,M
2023,SE,FT,Data Analyst,95000,0,M
2023,SE,FT,Data Analyst,75000,0,M
2023,SE,FT,Data Scientist,136000,100,M
2023,SE,FT,Data Scientist,104000,100,M
2023,MI,FT,Data Analyst,130000,0,M
2023,MI,FT,Data Analyst,105000,0,M
2023,MI,FT,Data Engineer,154000,0,M
2023,MI,FT,Data Engineer,103000,0,M
2023,MI,FT,Director of Data Science,217000,0,M
2023,MI,FT,Director of Data Science,192000,0,M
2023,SE,FT,Data Engineer,170000,0,M
2023,SE,FT,Data Engineer,100000,0,M
2023,SE,FT,Data Specialist,90000,0,M
2023,SE,FT,Data Specialist,60000,0,M
2023,SE,FT,AI Engineer,350000,0,M
2023,SE,FT,AI Engineer,168000,0,M
2023,SE,FT,Data Science Manager,234900,0,M
2023,SE,FT,Data Science Manager,113500,0,M
2023,SE,FT,Data Engineer,385000,0,M
2023,SE,FT,Data Engineer,245000,0,M
2023,SE,FT,Data Engineer,255000,0,M
2023,SE,FT,Data Engineer,255000,0,M
2023,SE,FT,Data Visualization Engineer,170200,0,M
2023,SE,FT,Data Visualization Engineer,83900,0,M
2023,SE,FT,Data Science Practitioner,170200,0,M
2023,SE,FT,Data Science Practitioner,83900,0,M
2023,SE,FT,Data Engineer,202500,0,M
2023,SE,FT,Data Engineer,177500,0,M
2023,SE,FT,Data Scientist,308000,0,M
2023,SE,FT,Data Scientist,144000,0,M
2023,SE,FT,Data Engineer,130000,100,M
2023,SE,FT,Data Engineer,101570,100,M
2023,SE,FT,Data Engineer,300000,0,M
2023,SE,FT,Data Engineer,150000,0,M
2023,SE,FT,Applied Scientist,222200,0,L
2023,SE,FT,Applied Scientist,136000,0,L
2023,SE,FT,Data Manager,145000,0,M
2023,SE,FT,Data Manager,130000,0,M
2023,SE,FT,Data Modeler,155000,100,L
2023,SE,FT,Data Modeler,130000,100,L
2023,SE,FT,Data Scientist,240000,100,M
2023,SE,FT,Data Scientist,180000,100,M
2023,SE,FT,AI Engineer,170200,0,M
2023,SE,FT,AI Engineer,83900,0,M
2023,SE,FT,Data Scientist,210000,0,M
2023,SE,FT,Data Scientist,165000,0,M
2023,SE,FT,Research Scientist,300000,0,M
2023,SE,FT,Research Scientist,150000,0,M
2023,SE,FT,ML Engineer,300000,0,M
2023,SE,FT,ML Engineer,150000,0,M
2023,SE,FT,Data Scientist,212800,0,L
2023,SE,FT,Data Scientist,111600,0,L
2023,SE,FT,Data Engineer,213600,0,M
2023,SE,FT,Data Engineer,103200,0,M
2023,SE,FT,Research Engineer,308000,0,M
2023,SE,FT,Research Engineer,190400,0,M
2023,SE,FT,Data Scientist,204000,100,M
2023,SE,FT,Data Scientist,127500,100,M
2023,MI,FT,Data Scientist,250000,0,M
2023,MI,FT,Data Scientist,125000,0,M
2023,SE,FT,Research Engineer,385000,0,M
2023,SE,FT,Research Engineer,310000,0,M
2023,SE,FT,Data Analyst,120000,100,M
2023,SE,FT,Data Analyst,88000,100,M
2023,SE,FT,Machine Learning Engineer,158000,100,M
2023,SE,FT,Machine Learning Engineer,108000,100,M
2023,SE,FT,Data Engineer,385000,0,M
2023,SE,FT,Data Engineer,310000,0,M
2023,SE,FT,Data Engineer,247300,0,M
2023,SE,FT,Data Engineer,139700,0,M
2023,SE,FT,Data Scientist,240000,100,M
2023,SE,FT,Data Scientist,180000,100,M
2023,SE,FT,Data Engineer,130000,100,M
2023,SE,FT,Data Engineer,101570,100,M
2023,SE,FT,Data Scientist,210000,0,M
2023,SE,FT,Data Scientist,165000,0,M
2023,SE,FT,AI Engineer,170200,0,M
2023,SE,FT,AI Engineer,83900,0,M
2023,SE,FT,Applied Scientist,222200,0,L
2023,SE,FT,Applied Scientist,136000,0,L
2023,MI,FT,Data Engineer,169000,0,M
2023,MI,FT,Data Engineer,91000,0,M
2023,EN,FT,Data Scientist,135000,0,M
2023,EN,FT,Data Scientist,110000,0,M
2023,SE,FT,Research Scientist,150000,100,M
2023,SE,FT,Research Scientist,130000,100,M
2023,SE,FT,Data Engineer,128000,0,M
2023,SE,FT,Data Engineer,81500,0,M
2023,SE,FT,Data Architect,306000,100,M
2023,SE,FT,Data Architect,204000,100,M
2023,SE,FT,Data Scientist,185900,0,M
2023,SE,FT,Data Scientist,129300,0,M
2023,SE,FT,Machine Learning Engineer,204500,0,M
2023,SE,FT,Machine Learning Engineer,142200,0,M
2023,EX,FT,Head of Data,270000,100,M
2023,EX,FT,Head of Data,200000,100,M
2023,MI,FT,Data Scientist,204500,0,M
2023,MI,FT,Data Scientist,142200,0,M
2023,SE,FT,Data Engineer,188600,0,M
2023,SE,FT,Data Engineer,111550,0,M
2023,SE,FT,Machine Learning Engineer,230000,0,M
2023,SE,FT,Machine Learning Engineer,160000,0,M
2023,SE,FT,Data Engineer,247300,0,M
2023,SE,FT,Data Engineer,139700,0,M
2023,SE,FT,AI Engineer,360000,0,M
2023,SE,FT,AI Engineer,240000,0,M
2023,SE,FT,ETL Developer,129100,0,M
